,"Total Beds (ES, TH, SH)",,,,,,,,,,,,,Emergency Shelter (ES),,,,,,,,,,,,Transitional Housing (TH),,,,,,,,,,Safe Haven (SH),,,,,,,,,,Rapid Re-Housing (RRH),,,,,,,,,,Permanent Supportive Housing (PSH),,,,,,,,,,,Other Permanent Housing (OPH),,,,,,,,,
CoC Number,"Total Year-Round Beds (ES, TH, SH)","Total Non-DV Year-Round Beds (ES, TH, SH)","Total HMIS Year-Round Beds (ES, TH, SH)","HMIS Participation Rate for Year-Round Beds (ES, TH, SH)",Total Year-Round Beds (ES),Total Year-Round Beds (TH),Total Year-Round Beds (SH),"Total Units for Households with Children (ES, TH, SH)","Total Beds for Households with Children (ES, TH, SH)","Total Beds for Households without Children (ES, TH, SH)","Total Beds for Households with only Children (ES, TH, SH)","Dedicated Veteran Beds (ES, TH, SH)","Dedicated Youth Beds (ES, TH, SH)",Total Year-Round Beds (ES),Total Non-DV Year-Round Beds (ES),Total HMIS Year-Round Beds (ES),HMIS Participation Rate for Year-Round Beds (ES),Total Seasonal Beds (ES),Total Overflow Beds (ES),Total Units for Households with Children (ES),Total Beds for Households with Children (ES),Total Beds for Households without Children (ES),Total Beds for Households with only Children (ES),Dedicated Veteran Beds (ES),Dedicated Youth Beds (ES),Total Year-Round Beds (TH),Total Non-DV Year-Round Beds (TH),Total HMIS Year-Round Beds (TH),HMIS Participation Rate for Year-Round Beds (TH),Total Units for Households with Children (TH),Total Beds for Households with Children (TH),Total Beds for Households without Children (TH),Total Beds for Households with only Children (TH),Dedicated Veteran Beds (TH),Dedicated Youth Beds (TH),Total Year-Round Beds (SH),Total Non-DV Year-Round Beds (SH),Total HMIS Year-Round Beds (SH),HMIS Participation Rate for Year-Round Beds (SH),Total Units for Households with Children (SH),Total Beds for Households with Children (SH),Total Beds for Households without Children (SH),Total Beds for Households with only Children (SH),Dedicated Veteran Beds (SH),Dedicated Youth Beds (SH),Total Year-Round Beds (RRH),Total Non-DV Year-Round Beds (RRH),Total HMIS Year-Round Beds (RRH),HMIS Participation Rate for Year-Round Beds (RRH),Total Units for Households with Children (RRH),Total Beds for Households with Children (RRH),Total Beds for Households without Children (RRH),Total Beds for Households with only Children (RRH),Dedicated Veteran Beds (RRH),Dedicated Youth Beds (RRH),Total Year-Round Beds (PSH),Total Non-DV Year-Round Beds (PSH),Total HMIS Year-Round Beds (PSH),HMIS Participation Rate for Year-Round Beds (PSH),Total Units for Households with Children (PSH),Total Beds for Households with Children (PSH),Total Beds for Households without Children (PSH),Total Beds for Households with only Children (PSH),Dedicated Veteran Beds (PSH),Dedicated Youth Beds (PSH),Dedicated Chronically Homeless Beds (PSH),Total Year-Round Beds (OPH),Total Non-DV Year-Round Beds (OPH),Total HMIS Year-Round Beds (OPH),HMIS Participation Rate for Year-Round Beds (OPH),Total Units for Households with Children (OPH),Total Beds for Households with Children (OPH),Total Beds for Households without Children (OPH),Total Beds for Households with only Children (OPH),Dedicated Veteran Beds (OPH),Dedicated Youth Beds (OPH)
AK-500,1028,962,920,89.49%,749,279,0,103,361,655,12,0,114,749,697,697,93.06%,72,4,42,198,542,9,0,60,279,265,223,79.93%,61,163,113,3,0,54,0,0,0,.,0,0,0,0,0,0,125,96,96,76.80%,29,102,23,0,14,0,604,604,340,56.29%,48,187,417,0,233,0,529,71,71,71,100.00%,0,0,71,0,0,0
AK-501,912,528,487,53.40%,649,263,0,108,348,555,9,14,31,649,339,307,47.30%,93,35,77,259,384,6,0,16,263,189,180,68.44%,31,89,171,3,14,15,0,0,0,.,0,0,0,0,0,0,90,79,79,87.78%,21,72,18,0,18,0,344,344,177,51.45%,27,87,257,0,167,0,287,0,0,0,.,0,0,0,0,0,0
AL-500,911,811,657,72.12%,569,308,34,112,321,578,12,133,36,569,483,444,78.03%,0,40,76,218,339,12,89,16,308,294,179,58.12%,36,103,205,0,44,20,34,34,34,100.00%,0,0,34,0,0,0,191,191,191,100.00%,13,45,146,0,20,19,1768,1768,1277,72.23%,157,525,1243,0,566,0,299,0,0,0,.,0,0,0,0,0,0
AL-501,435,347,310,71.26%,298,137,0,62,214,221,0,43,0,298,246,211,70.81%,0,20,32,117,181,0,5,0,137,101,99,72.26%,30,97,40,0,38,0,0,0,0,.,0,0,0,0,0,0,60,60,60,100.00%,13,39,21,0,17,0,203,203,203,100.00%,5,15,188,0,0,0,157,0,0,0,.,0,0,0,0,0,0
AL-502,210,142,0,0.00%,102,108,0,20,90,104,16,0,16,102,62,0,0.00%,75,0,13,65,37,0,0,0,108,80,0,0.00%,7,25,67,16,0,16,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,50,50,0,0.00%,0,0,50,0,0,0,50,0,0,0,.,0,0,0,0,0,0
AL-503,531,476,123,23.16%,504,27,0,51,179,336,16,0,23,504,454,101,20.04%,0,0,40,159,329,16,0,16,27,22,22,81.48%,11,20,7,0,0,7,0,0,0,.,0,0,0,0,0,0,3,3,3,100.00%,0,0,3,0,3,0,309,309,78,25.24%,22,86,223,0,231,0,300,0,0,0,.,0,0,0,0,0,0
AL-504,360,300,300,83.33%,213,147,0,42,126,234,0,36,0,213,207,207,97.18%,0,0,15,47,166,0,36,0,147,93,93,63.27%,27,79,68,0,0,0,0,0,0,.,0,0,0,0,0,0,55,55,55,100.00%,7,20,35,0,28,0,464,464,241,51.94%,53,165,299,0,223,0,134,0,0,0,.,0,0,0,0,0,0
AL-505,153,131,131,85.62%,149,4,0,4,34,105,14,0,14,149,127,127,85.23%,0,0,4,34,101,14,0,14,4,4,4,100.00%,0,0,4,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,8,8,8,100.00%,2,4,4,0,0,0,8,0,0,0,.,0,0,0,0,0,0
AL-506,127,89,83,65.35%,91,36,0,21,47,80,0,8,14,91,75,75,82.42%,0,0,15,25,66,0,0,14,36,14,8,22.22%,6,22,14,0,8,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,294,294,244,82.99%,37,64,230,0,267,0,0,0,0,0,.,0,0,0,0,0,0
AL-507,461,377,29,6.29%,188,273,0,38,110,350,1,36,38,188,104,0,0.00%,0,2,32,90,98,0,11,33,273,273,29,10.62%,6,20,252,1,25,5,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,221,221,93,42.08%,10,32,189,0,26,4,29,0,0,0,.,0,0,0,0,0,0
AR-500,781,564,300,38.41%,512,269,0,95,287,494,0,78,17,512,335,171,33.40%,0,120,71,229,283,0,29,0,269,229,129,47.96%,24,58,211,0,49,17,0,0,0,.,0,0,0,0,0,0,122,122,122,100.00%,12,35,87,0,55,0,893,893,495,55.43%,95,268,625,0,398,0,0,8,8,8,100.00%,0,0,8,0,0,0
AR-501,454,344,144,31.72%,228,226,0,59,231,215,8,25,52,228,133,107,46.93%,0,0,23,126,102,0,18,18,226,211,37,16.37%,36,105,113,8,7,34,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,218,218,71,32.57%,149,210,8,0,147,0,10,0,0,0,.,0,0,0,0,0,0
AR-503,574,378,241,41.99%,487,87,0,51,270,304,0,0,0,487,291,191,39.22%,0,0,41,235,252,0,0,0,87,87,50,57.47%,10,35,52,0,0,0,0,0,0,.,0,0,0,0,0,0,52,52,52,100.00%,28,51,1,0,0,0,21,21,21,100.00%,0,0,21,0,0,0,0,0,0,0,.,0,0,0,0,0,0
AR-504,71,43,0,0.00%,65,6,0,0,0,65,6,0,6,65,37,0,0.00%,0,0,0,0,59,6,0,6,6,6,0,0.00%,0,0,6,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0
AR-505,199,95,0,0.00%,187,12,0,31,83,92,24,0,24,187,95,0,0.00%,0,0,23,75,88,24,0,24,12,0,0,0.00%,8,8,4,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,16,16,0,0.00%,4,4,12,0,0,0,16,0,0,0,.,0,0,0,0,0,0
AR-508,283,243,0,0.00%,259,24,0,22,59,224,0,15,0,259,219,0,0.00%,0,0,21,50,209,0,0,0,24,24,0,0.00%,1,9,15,0,15,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0
AZ-500,1249,735,634,50.76%,944,305,0,141,487,739,23,75,32,944,549,448,47.46%,0,0,100,318,606,20,12,20,305,186,186,60.98%,41,169,133,3,63,12,0,0,0,.,0,0,0,0,0,0,562,562,562,100.00%,102,375,187,0,101,0,1134,1134,1134,100.00%,164,570,564,0,565,0,564,0,0,0,.,0,0,0,0,0,0
AZ-501,1196,1124,1098,91.81%,760,421,15,143,447,745,4,167,80,760,707,681,89.61%,139,36,73,232,524,4,61,8,421,402,402,95.49%,70,215,206,0,106,72,15,15,15,100.00%,0,0,15,0,0,0,693,636,634,91.49%,136,519,174,0,28,0,1853,1853,1059,57.15%,161,522,1331,0,794,35,169,0,0,0,.,0,0,0,0,0,0
AZ-502,4238,3734,2880,67.96%,2354,1862,22,666,2163,2051,24,267,122,2354,1997,1813,77.02%,0,17,294,1001,1329,24,33,34,1862,1715,1045,56.12%,372,1162,700,0,212,88,22,22,22,100.00%,0,0,22,0,22,0,1267,1267,1267,100.00%,218,850,417,0,166,1,6268,6268,5188,82.77%,529,1507,4761,0,1145,38,1812,1086,1086,1086,100.00%,259,901,185,0,29,10
CA-500,1580,1507,1507,95.38%,746,814,20,179,650,912,18,196,85,746,687,687,92.09%,641,0,74,250,484,12,59,12,814,800,800,98.28%,105,400,408,6,117,73,20,20,20,100.00%,0,0,20,0,20,0,834,814,814,97.60%,175,606,228,0,100,33,4220,4029,2541,60.21%,455,1683,2537,0,1377,56,1649,0,0,0,.,0,0,0,0,0,0
CA-501,2686,2569,1965,73.16%,2116,551,19,286,739,1921,26,398,358,2116,2035,1617,76.42%,125,0,185,501,1589,26,314,101,551,515,348,63.16%,101,238,313,0,65,257,19,19,0,0.00%,0,0,19,0,19,0,227,227,156,68.72%,68,181,46,0,0,20,9556,9491,6302,65.95%,667,1836,7720,0,1300,91,6260,0,0,0,.,0,0,0,0,0,0
CA-502,1636,1444,1173,71.70%,872,752,12,234,741,887,8,154,340,872,692,501,57.45%,180,47,94,414,450,8,22,56,752,740,660,87.77%,140,327,425,0,120,284,12,12,12,100.00%,0,0,12,0,12,0,602,602,529,87.87%,131,447,155,0,37,0,2925,2893,2267,77.50%,384,1034,1891,0,417,70,720,0,0,0,.,0,0,0,0,0,0
CA-503,1493,1378,1140,76.36%,891,602,0,232,621,872,0,87,168,891,796,599,67.23%,447,133,126,354,537,0,30,42,602,582,541,89.87%,106,267,335,0,57,126,0,0,0,.,0,0,0,0,0,0,732,732,716,97.81%,181,581,151,0,94,75,2933,2933,2385,81.32%,530,1287,1646,0,588,0,2310,0,0,0,.,0,0,0,0,0,0
CA-504,1025,998,824,80.39%,701,324,0,121,328,691,6,36,43,701,674,585,83.45%,258,1,54,188,507,6,20,31,324,324,239,73.77%,67,140,184,0,16,12,0,0,0,.,0,0,0,0,0,0,280,280,278,99.29%,87,195,85,0,15,8,960,960,505,52.60%,121,230,730,0,389,56,359,118,118,0,0.00%,111,111,7,0,0,0
CA-505,632,586,342,54.11%,474,158,0,51,204,425,3,28,32,474,450,304,64.14%,60,83,36,162,309,3,16,18,158,136,38,24.05%,15,42,116,0,12,14,0,0,0,.,0,0,0,0,0,0,231,231,227,98.27%,68,219,12,0,25,0,1092,1092,964,88.28%,221,627,465,0,218,14,427,0,0,0,.,0,0,0,0,0,0
CA-506,946,906,664,70.19%,345,601,0,126,471,469,6,69,50,345,305,134,38.84%,146,0,22,91,254,0,3,30,601,601,530,88.19%,104,380,215,6,66,20,0,0,0,.,0,0,0,0,0,0,18,18,18,100.00%,6,12,6,0,18,0,299,299,57,19.06%,26,52,247,0,199,0,269,45,45,45,100.00%,11,45,0,0,0,0
CA-507,402,322,290,72.14%,194,208,0,64,218,182,2,16,2,194,164,164,84.54%,60,0,10,55,139,0,0,0,208,158,126,60.58%,54,163,43,2,16,2,0,0,0,.,0,0,0,0,0,0,112,112,112,100.00%,11,37,75,0,0,0,549,549,524,95.45%,46,143,406,0,64,0,266,0,0,0,.,0,0,0,0,0,0
CA-508,510,492,411,80.59%,287,223,0,100,305,205,0,12,28,287,269,222,77.35%,148,0,56,166,121,0,12,0,223,223,189,84.75%,44,139,84,0,0,28,0,0,0,.,0,0,0,0,0,0,191,191,129,67.54%,69,161,30,0,86,0,560,560,238,42.50%,40,122,438,0,303,0,547,0,0,0,.,0,0,0,0,0,0
CA-509,184,146,108,58.70%,72,112,0,22,147,37,0,0,6,72,57,57,79.17%,64,0,6,59,13,0,0,6,112,89,51,45.54%,16,88,24,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,254,254,254,100.00%,69,119,135,0,108,0,67,0,0,0,.,0,0,0,0,0,0
CA-510,732,718,666,90.98%,525,207,0,78,236,474,22,16,38,525,511,459,87.43%,111,24,60,186,317,22,0,22,207,207,207,100.00%,18,50,157,0,16,16,0,0,0,.,0,0,0,0,0,0,34,34,34,100.00%,3,10,24,0,18,0,564,564,352,62.41%,77,249,315,0,227,0,272,0,0,0,.,0,0,0,0,0,0
CA-511,1217,1155,1077,88.50%,904,313,0,166,667,540,10,54,18,904,842,842,93.14%,0,108,131,528,366,10,6,10,313,313,235,75.08%,35,139,174,0,48,8,0,0,0,.,0,0,0,0,0,0,358,358,358,100.00%,94,326,32,0,51,0,718,718,718,100.00%,65,280,438,0,326,37,264,0,0,0,.,0,0,0,0,0,0
CA-512,680,630,620,91.18%,310,370,0,113,390,286,4,63,14,310,282,282,90.97%,0,0,28,107,199,4,53,4,370,348,338,91.35%,85,283,87,0,10,10,0,0,0,.,0,0,0,0,0,0,342,328,328,95.91%,84,304,38,0,22,0,750,717,565,75.33%,51,131,619,0,204,0,361,275,275,275,100.00%,50,196,79,0,0,0
CA-513,448,313,279,62.28%,255,193,0,28,194,254,0,0,20,255,168,134,52.55%,0,13,15,139,116,0,0,0,193,145,145,75.13%,13,55,138,0,0,20,0,0,0,.,0,0,0,0,0,0,144,144,144,100.00%,17,67,77,0,74,0,262,262,262,100.00%,32,97,165,0,103,0,137,0,0,0,.,0,0,0,0,0,0
CA-514,571,394,171,29.95%,425,122,24,94,299,260,12,96,34,425,311,88,20.71%,0,0,72,225,188,12,41,30,122,59,59,48.36%,22,74,48,0,55,4,24,24,24,100.00%,0,0,24,0,0,0,526,242,242,46.01%,126,452,74,0,59,0,1308,1308,682,52.14%,158,505,803,0,696,21,832,0,0,0,.,0,0,0,0,0,0
CA-515,595,441,417,70.08%,341,254,0,68,291,304,0,0,13,341,284,280,82.11%,64,14,22,96,245,0,0,4,254,157,137,53.94%,46,195,59,0,0,9,0,0,0,.,0,0,0,0,0,0,196,81,81,41.33%,62,173,23,0,0,0,192,192,166,86.46%,8,20,172,0,26,0,134,0,0,0,.,0,0,0,0,0,0
CA-516,521,497,58,11.13%,314,207,0,48,195,317,9,22,18,314,290,8,2.55%,0,0,29,73,241,0,0,7,207,207,50,24.15%,19,122,76,9,22,11,0,0,0,.,0,0,0,0,0,0,188,188,146,77.66%,43,140,48,0,0,3,61,61,45,73.77%,6,15,46,0,0,0,25,0,0,0,.,0,0,0,0,0,0
CA-517,151,139,128,84.77%,85,66,0,20,66,85,0,0,12,85,73,73,85.88%,50,12,3,10,75,0,0,0,66,66,55,83.33%,17,56,10,0,0,12,0,0,0,.,0,0,0,0,0,0,38,37,37,97.37%,15,35,3,0,0,0,57,57,57,100.00%,1,3,54,0,1,0,48,0,0,0,.,0,0,0,0,0,0
CA-518,339,339,300,88.50%,240,99,0,16,123,216,0,12,35,240,240,240,100.00%,0,0,1,59,181,0,0,0,99,99,60,60.61%,15,64,35,0,12,35,0,0,0,.,0,0,0,0,0,0,205,205,205,100.00%,44,112,93,0,51,0,257,257,155,60.31%,28,82,175,0,75,0,150,0,0,0,.,0,0,0,0,0,0
CA-519,409,372,341,83.37%,220,189,0,76,273,131,5,15,16,220,188,163,74.09%,62,5,25,107,112,1,0,1,189,184,178,94.18%,51,166,19,4,15,15,0,0,0,.,0,0,0,0,0,0,35,9,9,25.71%,9,26,9,0,9,0,368,368,354,96.20%,48,204,164,0,197,0,51,53,53,0,0.00%,10,32,21,0,0,0
CA-520,222,210,87,39.19%,110,112,0,25,65,157,0,0,10,110,98,83,75.45%,15,3,17,41,69,0,0,4,112,112,4,3.57%,8,24,88,0,0,6,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,130,130,45,34.62%,12,42,88,0,85,0,8,0,0,0,.,0,0,0,0,0,0
CA-521,244,188,128,52.46%,157,87,0,50,141,103,0,0,7,157,122,95,60.51%,32,15,38,99,58,0,0,0,87,66,33,37.93%,12,42,45,0,0,7,0,0,0,.,0,0,0,0,0,0,75,75,73,97.33%,25,72,3,0,0,0,132,132,122,92.42%,17,38,94,0,15,0,51,0,0,0,.,0,0,0,0,0,0
CA-522,358,358,203,56.70%,251,107,0,18,126,215,17,51,32,251,251,106,42.23%,18,0,11,82,164,5,15,5,107,107,97,90.65%,7,44,51,12,36,27,0,0,0,.,0,0,0,0,0,0,49,49,49,100.00%,12,29,20,0,0,0,56,56,56,100.00%,2,10,46,0,0,0,56,0,0,0,.,0,0,0,0,0,0
CA-523,128,117,105,82.03%,57,71,0,37,116,12,0,23,40,57,57,57,100.00%,0,0,24,53,4,0,7,15,71,60,48,67.61%,13,63,8,0,16,25,0,0,0,.,0,0,0,0,0,0,36,36,36,100.00%,14,31,5,0,0,15,0,0,0,.,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0
CA-524,317,317,113,35.65%,317,0,0,62,209,108,0,0,0,317,317,113,35.65%,30,0,62,209,108,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,142,142,142,100.00%,39,129,13,0,0,0,14,14,14,100.00%,0,0,14,0,14,0,0,0,0,0,.,0,0,0,0,0,0
CA-525,94,49,27,28.72%,43,51,0,12,60,22,12,0,12,43,12,12,27.91%,91,0,6,31,0,12,0,12,51,37,15,29.41%,6,29,22,0,0,0,0,0,0,.,0,0,0,0,0,0,126,115,24,19.05%,54,126,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,1,1,1,100.00%,1,1,0,0,0,0
CA-526,154,72,72,46.75%,108,46,0,32,111,43,0,12,5,108,50,50,46.30%,0,37,25,87,21,0,0,0,46,22,22,47.83%,7,24,22,0,12,5,0,0,0,.,0,0,0,0,0,0,126,126,126,100.00%,36,115,11,0,0,0,22,22,12,54.55%,0,0,22,0,10,0,10,0,0,0,.,0,0,0,0,0,0
CA-527,40,16,16,40.00%,24,16,0,6,27,13,0,0,0,24,0,0,0.00%,45,0,4,21,3,0,0,0,16,16,16,100.00%,2,6,10,0,0,0,0,0,0,.,0,0,0,0,0,0,68,33,33,48.53%,17,58,10,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0
CA-529,53,23,13,24.53%,30,23,0,9,38,15,0,0,0,30,0,0,0.00%,24,0,8,25,5,0,0,0,23,23,13,56.52%,1,13,10,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0
CA-530,10,0,0,0.00%,0,10,0,1,10,0,0,0,0,0,0,0,.,0,1,0,0,0,0,0,0,10,0,0,0.00%,1,10,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0
CA-600,14074,13126,7019,49.87%,9583,4393,98,2318,7127,6899,48,1024,1250,9583,9205,5199,54.25%,1505,0,1805,5582,3962,39,120,349,4393,3823,1722,39.20%,513,1545,2839,9,831,901,98,98,98,100.00%,0,0,98,0,73,0,5428,5340,5340,98.38%,1015,3534,1894,0,408,153,19194,19004,11126,57.97%,1719,5474,13720,0,6961,70,9749,3089,3061,2243,72.61%,243,789,2300,0,63,22
CA-601,3959,3566,3566,90.07%,2050,1818,91,477,1480,2461,18,468,156,2050,2001,2001,97.61%,134,17,186,600,1432,18,20,18,1818,1474,1474,81.08%,291,880,938,0,388,138,91,91,91,100.00%,0,0,91,0,60,0,1372,1141,1141,83.16%,223,794,578,0,417,20,4403,4403,4403,100.00%,298,987,3416,0,2587,39,743,857,857,802,93.58%,114,330,527,0,156,8
CA-602,2521,2214,1140,45.22%,1374,1147,0,438,1362,1139,20,25,20,1374,1155,465,33.84%,400,68,156,522,832,20,0,20,1147,1059,675,58.85%,282,840,307,0,25,0,0,0,0,.,0,0,0,0,0,0,687,663,663,96.51%,157,582,105,0,136,0,2546,2546,2546,100.00%,275,901,1645,0,974,14,635,66,66,66,100.00%,9,39,27,0,0,0
CA-603,815,702,550,67.48%,542,273,0,77,396,409,10,27,22,542,461,404,74.54%,312,70,38,224,308,10,4,10,273,241,146,53.48%,39,172,101,0,23,12,0,0,0,.,0,0,0,0,0,0,213,213,213,100.00%,40,137,76,0,36,0,591,591,263,44.50%,37,142,449,0,208,0,279,299,299,17,5.69%,60,224,75,0,0,0
CA-604,587,511,510,86.88%,421,166,0,57,224,363,0,56,4,421,361,361,85.75%,0,14,35,169,252,0,1,0,166,150,149,89.76%,22,55,111,0,55,4,0,0,0,.,0,0,0,0,0,0,836,836,836,100.00%,174,687,149,0,92,8,2123,2123,2081,98.02%,435,1396,727,0,277,25,615,9,9,9,100.00%,3,7,2,0,9,4
CA-606,614,501,332,54.07%,275,339,0,58,184,430,0,210,0,275,249,122,44.36%,150,0,28,93,182,0,0,0,339,252,210,61.95%,30,91,248,0,210,0,0,0,0,.,0,0,0,0,0,0,380,380,373,98.16%,52,171,209,0,254,11,1549,1549,1495,96.51%,154,582,967,0,921,0,201,250,250,0,0.00%,0,0,250,0,250,0
CA-607,178,178,178,100.00%,127,51,0,33,89,77,12,0,12,127,127,127,100.00%,150,16,14,41,74,12,0,12,51,51,51,100.00%,19,48,3,0,0,0,0,0,0,.,0,0,0,0,0,0,48,48,48,100.00%,15,42,6,0,0,0,445,445,405,91.01%,49,157,288,0,21,8,101,0,0,0,.,0,0,0,0,0,0
CA-608,782,702,684,87.47%,602,180,0,80,315,430,37,26,72,602,522,504,83.72%,65,0,52,210,355,37,1,37,180,180,180,100.00%,28,105,75,0,25,35,0,0,0,.,0,0,0,0,0,0,181,181,181,100.00%,38,134,47,0,21,0,1702,1702,1702,100.00%,155,560,1142,0,994,14,1545,0,0,0,.,0,0,0,0,0,0
CA-609,754,587,450,59.68%,387,343,24,151,445,289,20,59,24,387,323,193,49.87%,0,0,84,233,134,20,4,24,343,240,233,67.93%,67,212,131,0,31,0,24,24,24,100.00%,0,0,24,0,24,0,1773,1773,1773,100.00%,503,1540,233,0,219,0,1349,1349,1349,100.00%,208,614,735,0,565,12,574,0,0,0,.,0,0,0,0,0,0
CA-611,385,257,193,50.13%,171,204,10,70,239,146,0,10,5,171,134,72,42.11%,211,0,16,76,95,0,0,5,204,113,111,54.41%,54,163,41,0,10,0,10,10,10,100.00%,0,0,10,0,0,0,617,617,617,100.00%,138,456,161,0,11,0,547,547,365,66.73%,64,152,395,0,160,10,395,0,0,0,.,0,0,0,0,0,0
CA-612,104,94,82,78.85%,52,52,0,24,101,3,0,0,0,52,42,42,80.77%,0,0,6,49,3,0,0,0,52,52,40,76.92%,18,52,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,130,130,129,99.23%,7,29,77,24,8,24,99,0,0,0,.,0,0,0,0,0,0
CA-613,192,98,70,36.46%,94,98,0,55,142,50,0,0,12,94,70,70,74.47%,0,4,25,44,50,0,0,12,98,28,0,0.00%,30,98,0,0,0,0,0,0,0,.,0,0,0,0,0,0,56,0,0,0.00%,19,56,0,0,0,0,48,48,0,0.00%,22,48,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0
CA-614,206,113,100,48.54%,154,52,0,26,113,93,0,0,0,154,109,100,64.94%,124,28,18,71,83,0,0,0,52,4,0,0.00%,8,42,10,0,0,0,0,0,0,.,0,0,0,0,0,0,74,74,74,100.00%,15,43,31,0,74,0,297,297,126,42.42%,62,67,230,0,168,7,71,0,0,0,.,0,0,0,0,0,0
CO-500,1703,1316,683,40.11%,980,723,0,944,952,751,0,44,48,980,625,435,44.39%,428,149,567,567,413,0,28,22,723,691,248,34.30%,377,385,338,0,16,26,0,0,0,.,0,0,0,0,0,0,206,168,166,80.58%,197,197,9,0,9,2,919,919,697,75.84%,217,217,702,0,545,0,338,27,27,27,100.00%,0,0,27,0,0,0
CO-503,4799,4393,2007,41.82%,2853,1921,25,606,1910,2734,155,318,207,2853,2594,453,15.88%,100,304,213,717,2117,19,0,59,1921,1799,1554,80.90%,393,1193,592,136,318,148,25,0,0,0.00%,0,0,25,0,0,0,1331,1331,1231,92.49%,259,794,532,5,207,25,3311,3311,1982,59.86%,242,632,2646,33,1217,60,1134,246,246,246,100.00%,33,115,131,0,50,0
CO-504,1030,997,953,92.52%,592,438,0,125,475,555,0,22,40,592,559,559,94.43%,150,80,26,165,427,0,12,20,438,438,394,89.95%,99,310,128,0,10,20,0,0,0,.,0,0,0,0,0,0,106,106,106,100.00%,16,63,43,0,68,6,610,610,610,100.00%,84,293,317,0,429,15,557,31,31,31,100.00%,0,0,31,0,0,0
CT-503,760,703,667,87.76%,555,205,0,119,381,363,16,57,87,555,510,474,85.41%,42,48,74,271,268,16,0,16,205,193,193,94.15%,45,110,95,0,57,71,0,0,0,.,0,0,0,0,0,0,272,272,272,100.00%,56,166,106,0,16,0,1884,1864,1777,94.32%,227,717,1167,0,100,49,1657,0,0,0,.,0,0,0,0,0,0
CT-505,2657,2396,2337,87.96%,2280,377,0,444,1450,1203,4,138,44,2280,2076,2062,90.44%,283,64,388,1283,993,4,22,28,377,320,275,72.94%,56,167,210,0,116,16,0,0,0,.,0,0,0,0,0,0,696,696,673,96.70%,138,396,300,0,159,1,5175,5117,3846,74.32%,539,1526,3649,0,989,21,3427,0,0,0,.,0,0,0,0,0,0
DC-500,6721,6326,5952,88.56%,5268,1453,0,1054,3420,3286,15,187,561,5268,5080,4938,93.74%,771,0,859,2869,2384,15,0,149,1453,1246,1014,69.79%,195,551,902,0,187,412,0,0,0,.,0,0,0,0,0,0,3570,3570,3417,95.71%,1275,3490,80,0,131,0,7950,7914,6241,78.50%,1353,4741,3209,0,2091,143,7947,2009,2009,2009,100.00%,672,1826,183,0,19,0
DE-500,1122,1043,594,52.94%,629,488,5,174,459,659,4,69,23,629,553,421,66.93%,18,171,87,245,380,4,22,4,488,485,168,34.43%,87,214,274,0,42,19,5,5,5,100.00%,0,0,5,0,5,0,155,155,155,100.00%,34,112,43,0,29,0,850,850,683,80.35%,64,234,616,0,167,11,656,92,92,92,100.00%,0,0,92,0,15,0
FL-500,904,825,825,91.26%,559,345,0,74,290,582,32,30,39,559,491,491,87.84%,0,175,26,127,400,32,10,32,345,334,334,96.81%,48,163,182,0,20,7,0,0,0,.,0,0,0,0,0,0,68,68,68,100.00%,8,27,41,0,23,0,427,427,427,100.00%,57,224,203,0,259,0,339,0,0,0,.,0,0,0,0,0,0
