"","state","coc_code","coc","city","coc_total_population_zillow_2017","pit_2017_homeless_count","estimated_homeless_rate_percent_zillow_2017","pit_sheltered_total_homeless_2017","pit_unsheltered_homeless_2017","total_beds","difference","total_laws","citywide","particular_places","none","unclear","sleeping_in_public","camping_in_public","sitting_laying_in_public","living_in_vehicle","loitering_vagrancy","begging","food_sharing_ban","public_urination","public_intoxication"
"23","fl","fl-505","fort walton beach/okaloosa, walton counties coc","fort walton beach",262928,401,0.23,130,271,134,-267,5,1,4,3,1,"only in particular places","only in particular places","only in particular places","citywide","only in particular places","unclear","none","none","none"
"24","fl","fl-509","fort pierce/st. lucie, indian river, martin counties coc","port st. lucie",601682,1732,0.47,183,1549,220,-1512,5,1,4,1,3,"unclear","only in particular places","only in particular places","citywide","only in particular places","unclear","unclear","none","only in particular places"
"25","fl","fl-512","saint johns county coc","st. augustine",226229,445,0.31,179,266,190,-255,6,5,1,3,0,"citywide","citywide","none","citywide","only in particular places","citywide","none","citywide","none"
"26","fl","fl-517","hendry, hardee, highlands counties coc","clewiston",253385,609,0.41,91,518,95,-514,4,1,3,5,0,"none","only in particular places","none","only in particular places","only in particular places","none","none","none","citywide"
"27","fl","fl-518","columbia, hamilton, lafayette, suwannee counties coc","lake city",135313,502,0.6,99,403,119,-383,2,2,0,7,0,"none","none","none","none","citywide","none","none","none","citywide"
"28","fl","fl-519","pasco county coc","new port richey",497332,2593,0.72,178,2415,220,-2373,6,6,0,3,0,"citywide","citywide","none","citywide","citywide","citywide","none","none","citywide"
"29","fl","fl-602","punta gorda/charlotte county coc","charlotte county",173501,222,0.17,89,133,90,-132,6,2,4,3,0,"none","only in particular places","citywide","only in particular places","only in particular places","citywide","none","none","only in particular places"
"30","fl","fl-604","monroe county coc","key west",78399,631,1.15,339,292,401,-230,5,3,2,4,0,"citywide","citywide","citywide","only in particular places","none","only in particular places","none","none","none"
"31","ga","ga-500","atlanta continuum of care","atlanta",460412,3572,0.93,2891,681,3419,-153,8,1,7,1,0,"only in particular places","only in particular places","only in particular places","only in particular places","only in particular places","only in particular places","none","only in particular places","citywide"
"32","ga","ga-507","savannah/chatham county coc","savannah",285936,926,0.42,563,363,699,-227,6,2,4,3,0,"none","only in particular places","none","only in particular places","only in particular places","citywide","none","only in particular places","citywide"
"33","hi","hi-500","hawaii balance of state coc","maui co.",431130,2261,0.7,785,1476,1036,-1225,5,1,4,3,1,"only in particular places","only in particular places","only in particular places","none","none","unclear","none","only in particular places","citywide"
"34","hi","hi-501","honolulu coc","honolulu",989820,4959,0.6,2635,2324,3216,-1743,5,2,3,0,4,"only in particular places","only in particular places","only in particular places","unclear","unclear","citywide","unclear","citywide","unclear"
"35","ky","ky-502","lexington/fayette county coc","lexington",314752,1051,0.37,1000,51,999,-52,4,3,1,5,0,"none","none","none","none","only in particular places","citywide","citywide","none","citywide"
"36","la","la-503","new orleans/jefferson parish coc","new orleans",824422,1301,0.24,776,525,1053,-248,7,3,4,2,0,"only in particular places","only in particular places","only in particular places","none","only in particular places","citywide","none","citywide","citywide"
"37","ma","ma-500","boston coc","boston",666277,6135,0.99,5949,186,5905,-230,7,7,0,1,1,"citywide","citywide","citywide","unclear","citywide","citywide","none","citywide","citywide"
"38","ma","ma-502","lynn coc","lynn",92522,582,0.67,531,51,539,-43,7,4,3,2,0,"only in particular places","only in particular places","citywide","none","citywide","only in particular places","none","citywide","citywide"
"39","ma","ma-504","springfield coc","springfield",468103,2311,0.52,2258,53,2417,106,5,5,0,4,0,"none","none","citywide","none","citywide","citywide","none","citywide","citywide"
"40","ma","ma-505","new bedford coc","new bedford",95067,352,0.41,303,49,352,0,5,5,0,4,0,"citywide","none","citywide","none","citywide","citywide","none","none","citywide"
"41","ma","ma-508","lowell coc","lowell",110393,658,0.65,646,12,807,149,6,6,0,2,1,"citywide","none","citywide","none","citywide","citywide","unclear","citywide","citywide"
"42","ma","ma-509","cambridge coc","cambridge",109598,530,0.53,463,67,432,-98,5,5,0,1,3,"citywide","none","citywide","unclear","citywide","unclear","unclear","citywide","citywide"
"43","md","md-501","baltimore city coc","baltimore city",619546,2669,0.52,2123,546,2429,-240,4,3,1,4,1,"none","none","unclear","none","citywide","citywide","only in particular places","none","citywide"
"44","md","md-508","charles, calvert, st.mary's counties coc","waldorf (laws are from charles county)",358636,419,0.18,187,232,165,-254,1,1,0,7,1,"none","unclear","none","none","none","citywide","none","none","none"
"45","mo","mo-501","st.louis city coc","st. louis",314210,1336,0.47,1194,142,1338,2,5,5,0,4,0,"none","none","none","none","citywide","citywide","citywide","citywide","citywide"
"46","nc","nc-516","northwest north carolina coc","town of boone (watauga county seat)",210136,466,0.32,119,347,121,-345,5,2,3,3,1,"unclear","only in particular places","none","none","only in particular places","citywide","none","citywide","only in particular places"
"47","nv","nv-500","las vegas/clark county coc","las vegas",2104734,6490,0.36,2137,4353,2131,-4359,6,3,3,2,1,"only in particular places","citywide","only in particular places","citywide","none","only in particular places","unclear","citywide","none"
"48","ny","ny-600","new york city coc","nyc",8497179,76501,0.96,72565,3936,76865,364,7,2,5,1,1,"only in particular places","only in particular places","only in particular places","citywide","only in particular places","citywide","none","only in particular places","unclear"
"49","or","or-500","eugene/springfield/lane county coc","eugene",363486,1529,0.57,526,1003,571,-958,4,4,0,3,2,"unclear","citywide","citywide","unclear","none","none","none","citywide","citywide"
"50","or","or-501","portland-gresham-multnomah county coc","portland",787968,4177,0.65,2509,1668,2562,-1615,5,4,1,3,1,"unclear","citywide","citywide","none","none","only in particular places","none","citywide","citywide"
"51","or","or-502","medford/ashland/jackson county coc","medford",213469,633,0.41,369,264,335,-298,6,4,2,2,1,"only in particular places","citywide","citywide","only in particular places","none","unclear","none","citywide","citywide"
"52","or","or-503","central oregon coc","bend",219265,778,0.46,230,548,272,-506,5,2,3,5,0,"citywide","only in particular places","none","only in particular places","only in particular places","none","none","citywide","none"
"53","or","or-505","oregon balance of state coc","corvallis",1468651,5795,0.57,2026,3769,2575,-3220,7,5,2,2,0,"only in particular places","citywide","none","only in particular places","citywide","citywide","none","citywide","citywide"
"54","wa","wa-500","seattle/king county coc","seattle",2119230,11643,0.65,6158,5485,6445,-5198,6,4,2,3,0,"none","only in particular places","only in particular places","none","citywide","citywide","none","citywide","citywide"
