coc_code,coc_name,rate_percpt_change_2014_2018,rank_rate_percpt_change_2014_2018,homeless_rate_perc_2014,homeless_rate_perc_2018,total_pop_2017
sd-500,south dakota statewide coc,0.03190030340215573,45,0.10303565149966352,0.13493595490181926,858926
nc-513,chapel hill/orange county coc,0.031212314676881625,46,0.07661204511598212,0.10782435979286374,140970
ma-500,boston coc,0.03016763298147751,47,0.898575217214462,0.9287428501959395,666277
md-506,carroll county coc,0.029231742092515473,48,0.07397420447901877,0.10320594657153424,167626
md-509,frederick city & county coc,0.028506619644318845,49,0.1001804061786062,0.12868702582292504,245557
fl-520,"citrus, hernando, lake, sumter counties coc",0.026201159401303506,50,0.06694396227033046,0.09314512167163397,763325
ca-517,napa city & county coc,0.026175973286358095,51,0.20162574017870408,0.22780171346506217,141351
ma-515,fall river coc,0.025820357668084937,52,0.39740898323922,0.42322934090730496,89077
ak-500,anchorage coc,0.023703406947435224,53,0.34152937052431265,0.36523277747174787,299535
fl-506,tallahassee/leon county coc,0.023695008783101795,54,0.18340848144612462,0.20710349022922642,438911
ny-603,"nassau, suffolk counties coc",0.023161474723682907,55,0.11237344847027395,0.13553492319395685,2853877
ca-524,yuba city & county/sutter county coc,0.022951707253916487,56,0.42725485811136876,0.45020656536528525,169922
md-505,baltimore county coc,0.02281580882042268,57,0.06868886359164289,0.09150467241206557,828373
wa-508,vancouver/clark county coc,0.021479185595198957,58,0.14928033988663286,0.17075952548183182,465567
ca-505,richmond/contra costa county coc,0.020093196711502753,59,0.1794099208595959,0.19950311757109865,1119782
wa-503,"tacoma, lakewood/pierce county coc",0.019571480057377855,60,0.17471126100000717,0.19428274105738502,837954
wa-502,spokane city & county coc,0.019556475434214876,61,0.23406656535325923,0.2536230407874741,490886
wa-501,washington balance of state coc,0.01929469369000697,62,0.23494654921134062,0.2542412429013476,2228592
de-500,delaware statewide coc,0.01919536426650377,63,0.09555261438740276,0.11474797865390653,942936
nh-501,manchester coc,0.018128586060930207,64,0.3689167263399291,0.3870453124008593,110323
pa-501,harrisburg/dauphin county coc,0.01795990177033316,65,0.1451453285928967,0.16310523036322985,272830
al-502,florence/northwest alabama coc,0.017693518149032125,66,0.07867968708824924,0.09637320523728136,265634
md-511,mid-shore regional coc,0.0175347333843789,67,0.06487851352220189,0.08241324690658079,171089
ny-606,rockland county coc,0.016944139792234046,68,0.03850940861871372,0.05545354841094777,324596
va-501,"norfolk/chesapeake, suffolk, isle of wight, southampton counties coc",0.01659879603399432,69,0.10559995953055444,0.12219875556454876,632576
mi-510,saginaw city & county coc,0.016501394883536247,70,0.16759229178591503,0.18409368666945128,193923
tx-600,"dallas city & county, irving coc",0.016476414297944594,71,0.09538405245960022,0.11186046675754481,3684054
nm-500,albuquerque coc,0.01633949674350027,72,0.23825266181801602,0.2545921585615163,526332
mi-515,monroe city & county coc,0.016058452768075798,73,0.1237839067539176,0.1398423595219934,149454
nj-516,"warren, sussex, hunterdon counties coc",0.01570870208845862,74,0.07428352343525353,0.08999222552371215,375588
ny-602,"newburgh, middletown/orange county coc",0.015645717316361718,75,0.11164147440997083,0.12728719172633254,377100
va-513,"harrisburg, winchester/western virginia coc",0.015168898793107247,76,0.06867374180879465,0.0838426406019019,362584
oh-503,columbus/franklin county coc,0.014969270337266166,77,0.12518343173237118,0.14015270206963734,1289308
ca-511,stockton/san joaquin county coc,0.013450439981918166,78,0.2201989555802686,0.23364939556218678,721166
mn-508,moorhead/west central minnesota coc,0.013292017312852553,79,0.08889036577970143,0.10218238309255398,240746
pa-603,beaver county coc,0.01304670126019273,80,0.056338028169014086,0.06938472942920682,168625
tx-503,austin/travis county coc,0.012790882658840763,81,0.15884677401947891,0.17163765667831968,1250891
la-507,alexandria/central louisiana coc,0.011710973181871406,82,0.04586797829566304,0.057578951477534446,307404
or-501,"portland, gresham/multnomah county coc",0.011675601039636108,83,0.49837049220272905,0.5100460932423652,787968
nj-511,paterson/passaic county coc,0.01144358902520351,84,0.07418602540476764,0.08562961442997115,506834
ok-501,tulsa city & county coc,0.010575265468136585,85,0.14631531675093076,0.15689058221906735,690290
ca-526,"amador, calaveras, mariposa, tuolumne counties coc",0.010465177123122782,86,0.24985610381455708,0.26032128093767987,152888
ar-505,southeast arkansas coc,0.010179587628188921,87,0.0229861656120395,0.03316575324022842,304531
nc-501,asheville/buncombe county coc,0.00949036727721364,88,0.2095789440384676,0.21906931131568125,252888
tn-504,nashville-davidson county coc,0.009449786198587218,89,0.32985659949443646,0.3393063856930237,677264
ut-503,utah balance of state coc,0.009417454003383854,90,0.06294400880894159,0.07236146281232544,1242374
az-502,"phoenix, mesa/maricopa county coc",0.009125943544511683,91,0.14212456288531594,0.15125050642982762,4163953
ma-509,cambridge coc,0.009124254092227946,92,0.5027464004817606,0.5118706545739885,109598
tx-500,san antonio/bexar county coc,0.009063222225521084,93,0.15063700388624718,0.15970022611176826,1919847
oh-500,cincinnati/hamilton county coc,0.008748432059183742,94,0.1285156991229389,0.13726413118212263,811574
tn-510,murfreesboro/rutherford county coc,0.008388698745050674,95,0.08657137104892289,0.09496006979397356,298020
ca-607,pasadena coc,0.007978183295134778,96,0.4830427340508863,0.4910209173460211,137876
wv-500,"wheeling, weirton area coc",0.007641329869263802,97,0.06738263611987162,0.07502396598913542,143954
ma-506,worcester city & county coc,0.006860702021334347,98,0.22003251482707967,0.22689321684841401,816243
md-510,garrett county coc,0.00677025151484377,99,0.04400663484648455,0.05077688636132832,29541
ny-518,"utica, rome/oneida, madison counties coc",0.006190800470500836,100,0.05180722498998067,0.05799802546048151,306907
nj-506,"jersey city, bayonne/hudson county coc",0.005782635191338509,101,0.12173188441253616,0.12751451960387467,674433
nh-500,new hampshire balance of state coc,0.005730466946558543,102,0.07449607030526088,0.08022653725181943,924881
pa-512,york city & county coc,0.004982470761955654,103,0.06839573500502777,0.07337820576698342,441548
