coc_code,coc_name,est_rate_perc_2017,rank_est_rate_perc_2017,total_pop_2017
ny-523,"glens falls, saratoga springs/saratoga, washington, warren, hamilton counties co",0.08,301.5,357590
pa-509,eastern pennsylvania coc,0.08,301.5,3104937
tx-624,"wichita falls/wise, palo pinto, wichita, archer counties coc",0.08,301.5,330725
tx-700,"houston, pasadena, conroe/harris, ft. bend, montgomery, counties coc",0.08,301.5,5748292
va-514,"fredericksburg/spotsylvania, stafford counties coc",0.08,301.5,356451
al-502,florence/northwest alabama coc,0.07,325,265634
ar-501,fayetteville/northwest arkansas coc,0.07,325,524887
il-517,"aurora, elgin/kane county coc",0.07,325,589685
in-502,indiana balance of state coc,0.07,325,5672562
ky-500,kentucky balance of state coc,0.07,325,3348234
la-500,lafayette/acadiana coc,0.07,325,658150
la-509,louisiana balance of state coc,0.07,325,1111992
ma-519,"attleboro, taunton/bristol county coc",0.07,325,372829
md-504,howard county coc,0.07,325,312779
md-600,prince george's county coc,0.07,325,902570
nc-503,north carolina balance of state coc,0.07,325,5075411
ne-500,nebraska balance of state coc,0.07,325,894615
nj-507,new brunswick/middlesex county coc,0.07,325,833404
ny-511,"binghamton, union town/broome, otsego, chenango, delaware, cortland, tioga count",0.07,325,449792
ny-514,"jamestown, dunkirk/chautauqua county coc",0.07,325,130850
ny-522,"jefferson, lewis, st. lawrence counties coc",0.07,325,255122
ok-500,north central oklahoma coc,0.07,325,314750
ok-503,oklahoma balance of state coc,0.07,325,669481
pa-510,lancaster city & county coc,0.07,325,536004
pa-512,york city & county coc,0.07,325,441548
tn-506,upper cumberland coc,0.07,325,567870
tx-604,waco/mclennan county coc,0.07,325,358285
va-500,"richmond/henrico, chesterfield, hanover counties coc",0.07,325,1061547
va-504,charlottesville coc,0.07,325,246286
wv-508,west virginia balance of state coc,0.07,325,1281817
al-507,alabama balance of state coc,0.06,347.5,1522513
ga-506,marietta/cobb county coc,0.06,347.5,737643
il-500,mchenry county coc,0.06,347.5,300660
la-505,monroe/northeast louisiana coc,0.06,347.5,355418
la-506,slidell/southeast louisiana coc,0.06,347.5,573011
la-507,alexandria/central louisiana coc,0.06,347.5,307404
md-510,garrett county coc,0.06,347.5,29541
mi-503,"st. clair shores, warren/macomb county coc",0.06,347.5,864717
mi-518,livingston county coc,0.06,347.5,187091
mo-500,st. louis county coc,0.06,347.5,999793
mo-606,missouri balance of state coc,0.06,347.5,2738152
ny-504,cattaragus county coc,0.06,347.5,78050
ny-518,"utica, rome/oneida, madison counties coc",0.06,347.5,306907
ny-606,rockland county coc,0.06,347.5,324596
oh-507,ohio balance of state coc,0.06,347.5,6126510
ok-506,southwest oklahoma regional coc,0.06,347.5,407894
pa-503,"wilkes-barre, hazleton/luzerne county coc",0.06,347.5,317739
pa-603,beaver county coc,0.06,347.5,168625
ut-503,utah balance of state coc,0.06,347.5,1242374
va-508,lynchburg coc,0.06,347.5,259135
mn-503,"dakota, anoka, washington, scott, carver counties",0.05,361,1264398
mn-511,southwest minnesota coc,0.05,361,277032
ms-501,mississippi balance of state coc,0.05,361,1933222
nj-508,monmouth county coc,0.05,361,625879
pa-601,western pennsylvania coc,0.05,361,1725296
sc-500,charleston/low country coc,0.05,361,1009228
va-521,virginia balance of state coc,0.05,361,1695332
il-502,"waukegan, north chicago/lake county coc",0.04,371.5,729261
il-506,"joliet, bolingbrook/will county coc",0.04,371.5,803325
il-511,cook county coc,0.04,371.5,2494027
il-514,dupage county coc,0.04,371.5,917503
il-518,"rock island, moline/northwestern illinois coc",0.04,371.5,656316
il-519,west central illinois coc,0.04,371.5,223572
mi-504,"pontiac, royal oak/oakland county coc",0.04,371.5,1240927
nj-501,bergen county coc,0.04,371.5,934290
nj-510,lakewood township/ocean county coc,0.04,371.5,588882
ny-520,"franklin, essex counties coc",0.04,371.5,89018
pa-504,"lower merion, norristown, abington/montgomery county coc",0.04,371.5,818782
tx-701,"bryan, college station/brazos valley coc",0.04,371.5,331198
ut-504,provo/mountainland coc,0.04,371.5,639584
va-602,loudoun county coc,0.04,371.5,373741
ar-505,southeast arkansas coc,0.03,380.5,304531
il-515,south central illinois coc,0.03,380.5,401555
ks-505,"overland park, shawnee/johnson county coc",0.03,380.5,578042
tn-503,central tennessee coc,0.03,380.5,1140959
mi-502,"dearborn, dearborn heights, westland/wayne county coc",0.02,383,1079405
