coc_code,coc_name,perc_change_2014_2018,rank_perc_change_2014_2018,overall_homeless_2014,overall_homeless_2018
mn-503,"dakota, anoka, washington, scott, carver counties",-0.14965986394557823,216,735,625
la-505,monroe/northeast louisiana coc,-0.15,217,220,187
mi-511,lenawee county coc,-0.15217391304347827,218,138,117
tx-624,"wichita falls/wise, palo pinto, wichita, archer counties coc",-0.15302491103202848,219,281,238
va-603,alexandria coc,-0.15355805243445692,220,267,226
fl-600,miami-dade county coc,-0.15399422521655437,221,4156,3516
wy-500,wyoming statewide coc,-0.15587846763540292,222,757,639
va-507,portsmouth coc,-0.15625,223,160,135
va-604,prince william county coc,-0.15955056179775282,224,445,374
nc-507,raleigh/wake county coc,-0.15982905982905982,225,1170,983
ut-500,salt lake city & county coc,-0.16093023255813954,226,2150,1804
fl-601,ft lauderdale/broward county coc,-0.16196673897324657,227,2766,2318
va-505,"newport news, hampton/virginia peninsula coc",-0.16380952380952382,228,525,439
fl-603,"ft myers, cape coral/lee county coc",-0.16417910447761194,229,871,728
mi-507,"portage, kalamazoo city & county coc",-0.16740088105726872,230,681,567
mi-514,battle creek/calhoun county coc,-0.16901408450704225,231,284,236
tx-601,"fort worth, arlington/tarrant county coc",-0.16907216494845362,232,2425,2015
sc-503,"myrtle beach, sumter city & county coc",-0.17084282460136674,233,1317,1092
nc-505,charlotte/mecklenberg coc,-0.1717974180734856,234,2014,1668
ca-514,fresno city & county/madera county coc,-0.1728395061728395,235,2592,2144
ny-512,troy/rensselaer county coc,-0.17592592592592593,236,216,178
nj-502,burlington county coc,-0.17647058823529413,237.5,1020,840
pa-605,erie city & county coc,-0.17647058823529413,237.5,408,336
oh-507,ohio balance of state coc,-0.1768260641093011,239,3806,3133
fl-605,west palm beach/palm beach county coc,-0.17982456140350878,240,1596,1309
mo-604,"kansas city, independence, lee’s summit/jackson, wyandotte counties, mo & ks",-0.1801185590515276,241,2193,1798
oh-501,toledo/lucas county coc,-0.18170580964153277,242,809,662
nv-500,las vegas/clark county coc,-0.18272202069058174,243,7443,6083
pa-510,lancaster city & county coc,-0.18473895582329317,244,498,406
pa-502,"upper darby, chester, haverford/delaware county coc",-0.18664047151277013,245,509,414
ms-503,gulf port/gulf coast regional coc,-0.18779342723004694,246,426,346
nm-501,new mexico balance of state coc,-0.18833780160857908,247,1492,1211
mn-500,minneapolis/hennepin county coc,-0.19244170463682658,248,3731,3013
pa-511,"bristol, bensalem/bucks county coc",-0.19308943089430894,249,492,397
va-601,fairfax county coc,-0.19428571428571428,250,1225,987
mt-500,montana statewide coc,-0.19484240687679083,251,1745,1405
nj-500,atlantic city & county coc,-0.19669117647058823,252,544,437
co-503,metropolitan denver coc,-0.19694910134420782,253,6621,5317
ok-506,southwest oklahoma regional coc,-0.200836820083682,254,239,191
ok-502,oklahoma city coc,-0.2012153950033761,255,1481,1183
fl-519,pasco county coc,-0.20500595947556616,256,3356,2668
al-503,huntsville/north alabama coc,-0.208955223880597,257,536,424
wi-503,madison/dane county coc,-0.2097812097812098,258,777,614
ok-503,oklahoma balance of state coc,-0.21016949152542372,259,295,233
ny-511,"binghamton, union town/broome, otsego, chenango, delaware, cortland, tioga count",-0.21035598705501618,260,309,244
mi-503,"st. clair shores, warren/macomb county coc",-0.21282798833819241,261,343,270
ca-608,riverside city & county coc,-0.2135823429541596,262,2945,2316
nc-509,"gastonia/cleveland, gaston, lincoln counties coc",-0.21749408983451538,263,423,331
tx-700,"houston, pasadena, conroe/harris, ft. bend, montgomery, counties coc",-0.2194800301431801,264,5308,4143
il-515,south central illinois coc,-0.22033898305084745,265,118,92
la-500,lafayette/acadiana coc,-0.22929936305732485,266,471,363
fl-502,"st. petersburg, clearwater, largo/pinellas county coc",-0.22972574461810674,267,3391,2612
tx-607,texas balance of state coc,-0.23182138187669718,268,9943,7638
ga-507,savannah/chatham county coc,-0.23269961977186313,269,1315,1009
tx-604,waco/mclennan county coc,-0.23577235772357724,270,246,188
va-600,arlington county coc,-0.24054982817869416,271,291,221
sc-502,columbia/midlands coc,-0.241183879093199,272,1588,1205
nj-514,trenton/mercer county coc,-0.24208860759493672,273,632,479
va-602,loudoun county coc,-0.24293785310734464,274,177,134
