field_1,location,date_full,month,day,year,coordinates,latitude,longitude,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
"188",200 H Street NW,7/12/18,July,"12","2018","38.900229, -77.013997","38.900229","-77.013997","11","001","004702","11001004702","47.02",Census Tract 47.02,G5020,S,"326350","0","+38.9008608","-077.0136117"
"212",3rd Street and H Street NW,10/9/18,October,"9","2018","38.900248, -77.015233","38.900248","-77.015233","11","001","004702","11001004702","47.02",Census Tract 47.02,G5020,S,"326350","0","+38.9008608","-077.0136117"
"221",660 North Capitol Street NW,10/25/18,October,"25","2018","38.898570, -77.009650","38.89857","-77.00965","11","001","004702","11001004702","47.02",Census Tract 47.02,G5020,S,"326350","0","+38.9008608","-077.0136117"
"222",660 North Capitol Street NW,10/30/18,October,"30","2018","38.898570, -77.009650","38.89857","-77.00965","11","001","004702","11001004702","47.02",Census Tract 47.02,G5020,S,"326350","0","+38.9008608","-077.0136117"
"243",660 North Capitol Street NW,12/20/18,December,"20","2018","38.898570, -77.009650","38.89857","-77.00965","11","001","004702","11001004702","47.02",Census Tract 47.02,G5020,S,"326350","0","+38.9008608","-077.0136117"
"205",1345 14th Street NW,9/21/18,September,"21","2018","38.908710, -77.031951","38.90871","-77.031951","11","001","005201","11001005201","52.01",Census Tract 52.01,G5020,S,"339712","0","+38.9102026","-077.0341232"
"7",17th Street and Corcoran Street NW,Jun-15,June,N/A,"2015","38.911875, -77.038468","38.911875","-77.038468","11","001","005301","11001005301","53.01",Census Tract 53.01,G5020,S,"286403","0","+38.9107789","-077.0389515"
"23",1636 R Street NW,Dec-15,December,N/A,"2015","38.912608, -77.037969","38.912608","-77.037969","11","001","005301","11001005301","53.01",Census Tract 53.01,G5020,S,"286403","0","+38.9107789","-077.0389515"
"61",1701 Corcoran Street NW,9/20/16,September,"20","2016","38.912003, -77.038928","38.912003","-77.038928","11","001","005301","11001005301","53.01",Census Tract 53.01,G5020,S,"286403","0","+38.9107789","-077.0389515"
"85",17th Street and Corcoran Street NW,3/2/17,March,"2","2017","38.911875, -77.038468","38.911875","-77.038468","11","001","005301","11001005301","53.01",Census Tract 53.01,G5020,S,"286403","0","+38.9107789","-077.0389515"
"109",1701 Corcoran Street NW,6/1/17,June,"1","2017","38.912003, -77.038928","38.912003","-77.038928","11","001","005301","11001005301","53.01",Census Tract 53.01,G5020,S,"286403","0","+38.9107789","-077.0389515"
"133",17th Street and Corcoran Street NW,10/10/17,October,"10","2017","38.911875, -77.038468","38.911875","-77.038468","11","001","005301","11001005301","53.01",Census Tract 53.01,G5020,S,"286403","0","+38.9107789","-077.0389515"
"153",17th Street and Corcoran Street NW,2/6/18,February,"6","2018","38.911875, -77.038468","38.911875","-77.038468","11","001","005301","11001005301","53.01",Census Tract 53.01,G5020,S,"286403","0","+38.9107789","-077.0389515"
"160",17th Street and Corcoran Street NW,3/6/18,March,"6","2018","38.911875, -77.038468","38.911875","-77.038468","11","001","005301","11001005301","53.01",Census Tract 53.01,G5020,S,"286403","0","+38.9107789","-077.0389515"
"238",1800 Minnesota Ave SE,12/11/18,December,"11","2018","38.869552, -76.978532","38.869552","-76.978532","11","001","007601","11001007601","76.01",Census Tract 76.01,G5020,S,"1115359","141529","+38.8716327","-076.9798185"
"185",Reeves Center,6/28/18,June,"28","2018","38.917293, -77.032381","38.917293","-77.032381","11","001","004300","11001004300","43",Census Tract 43,G5020,S,"236694","0","+38.9168040","-077.0341511"
"196",Reeves Center,8/23/18,August,"23","2018","38.917293, -77.032381","38.917293","-77.032381","11","001","004300","11001004300","43",Census Tract 43,G5020,S,"236694","0","+38.9168040","-077.0341511"
"218",Reeves Center,10/18/18,October,"18","2018","38.917293, -77.032381","38.917293","-77.032381","11","001","004300","11001004300","43",Census Tract 43,G5020,S,"236694","0","+38.9168040","-077.0341511"
"240",Reeves Center,12/18/18,December,"18","2018","38.917293, -77.032381","38.917293","-77.032381","11","001","004300","11001004300","43",Census Tract 43,G5020,S,"236694","0","+38.9168040","-077.0341511"
"87",Mitchell Park - 23rd Street and S Street NW,3/21/17,March,"21","2017","38.914424, -77.049883","38.914424","-77.049883","11","001","004100","11001004100","41",Census Tract 41,G5020,S,"789132","23020","+38.9159337","-077.0516151"
"229",1156 15th Street NW,11/20/18,November,"20","2018","38.905334, -77.034581","38.905334","-77.034581","11","001","010100","11001010100","101",Census Tract 101,G5020,S,"580133","0","+38.9026943","-077.0318400"
"230",915 15th Street NW,11/20/18,November,"20","2018","38.901843, -77.033370","38.901843","-77.03337","11","001","010100","11001010100","101",Census Tract 101,G5020,S,"580133","0","+38.9026943","-077.0318400"
"1",I-395 H Street NW and Massachusetts Avenue NW (Capitol Crossing Construction Sites),Mar-15,March,N/A,"2015","38.898902, -77.014169","38.898902","-77.014169","11","001","005900","11001005900","59",Census Tract 59,G5020,S,"642061","0","+38.8959946","-077.0149469"
"6",I-395 H Street NW and Massachusetts Avenue NW (Capitol Crossing Construction Sites),Jun-15,June,N/A,"2015","38.898902, -77.014169","38.898902","-77.014169","11","001","005900","11001005900","59",Census Tract 59,G5020,S,"642061","0","+38.8959946","-077.0149469"
"13",3rd Street and E Street NW (Behind 441 4th building),Oct-15,October,N/A,"2015","38.896113, -77.015166","38.896113","-77.015166","11","001","005900","11001005900","59",Census Tract 59,G5020,S,"642061","0","+38.8959946","-077.0149469"
