location,date_full,month,day,year,coordinates,link,latitude,longitude,notes/questions
2600 L Street NW,12/8/16,December,8,2016,"38.903761, -77.054026",https://goo.gl/maps/1Czv4jWmZY64nZiW6,38.903761,-77.054026,
Whitehurst Freeway - 26th/27th and K NW,12/12/16,December,12,2016,"38.902673, -77.055567",https://goo.gl/maps/YeCgo9ggFdxUB9Ka9,38.902673,-77.055567,
NoMa - Underpass(es),12/13/16,December,13,2016,"38.902503, -77.004360",https://goo.gl/maps/Jx3aZHbawVpoWw3k6,38.902503,-77.00436,
NoMa - First Street NE,42724,December,20,2016,"38.901274, -77.006406",https://goo.gl/maps/DwaQWhfCS3v9xJiy5,38.901274,-77.006406,
1200 Maine Avenue SW,1/5/17,January,5,2017,"38.881760, -77.027956",https://goo.gl/maps/vvAbN83EFnubR5r76,38.88176,-77.027956,
6th Street and Frontage Road SW,1/5/17,January,5,2017,"38.883236, -77.019969",https://goo.gl/maps/qdMLRFTxrhmtXw9L7,38.883236,-77.019969,
2nd Street and E Street SW,1/10/17,January,10,2017,"38.883273, -77.013690",https://goo.gl/maps/59u2Xn8yRLsXJtwMA,38.883273,-77.01369,
7th Street and D Street SW,1/10/17,January,10,2017,"38.884839, -77.021991",https://goo.gl/maps/Q6a6HvrS4TT38ZZc6,38.884839,-77.021991,
27th Street and K Street,1/12/17,January,12,2017,"38.902522, -77.013728",https://goo.gl/maps/QQuMZCXKKcqa4ix87,38.902522,-77.013728,
295 overpass at Sousa Bridge,1/26/17,January,26,2017,NA,NA,NA,NA,Which side of the bridge?
3rd Street Tunnel,1/26/17,January,26,2017,"38.893132, -77.014034",https://goo.gl/maps/aUpXLEsqdNBkhadF9,38.893132,-77.014034,
Whitehurst Freeway - 26th/27th and K NW,2/14/17,February,14,2017,"38.902673, -77.055567",https://goo.gl/maps/YeCgo9ggFdxUB9Ka9,38.902673,-77.055567,
Whitehurst Freeway - 26th/27th and K NW,2/16/17,February,16,2017,"38.902673, -77.055567",https://goo.gl/maps/YeCgo9ggFdxUB9Ka9,38.902673,-77.055567,
2600 L Street NW,2/16/17,February,16,2017,"38.903761, -77.054026",https://goo.gl/maps/1Czv4jWmZY64nZiW6,38.903761,-77.054026,
6th Street and Frontage Road SW,3/2/17,March,2,2017,"38.883236, -77.019969",https://goo.gl/maps/qdMLRFTxrhmtXw9L7,38.883236,-77.019969,
17th Street and Corcoran Street NW,3/2/17,March,2,2017,"38.911875, -77.038468",https://goo.gl/maps/1ctzDBWSbUXhydu87,38.911875,-77.038468,
1200 Maine Avenue SW,3/9/17,March,9,2017,"38.881760, -77.027956",https://goo.gl/maps/vvAbN83EFnubR5r76,38.88176,-77.027956,
Mitchell Park - 23rd Street and S Street NW,3/21/17,March,21,2017,"38.914424, -77.049883",https://goo.gl/maps/PJaZa5Vcut5x9RaV7,38.914424,-77.049883,
New Jersey Avenue between K Street and L Street NW,3/21/17,March,21,2017,"38.903169, -77.013840",https://goo.gl/maps/2Dnd18bvKGGCd5k37,38.903169,-77.01384,
2300 E Street Expressway NW,3/23/17,March,23,2017,"38.895738, -77.048071",https://goo.gl/maps/MTuB7izmD9ugoGTW9,38.895738,-77.048071,
3rd Street Tunnel,3/27/17,March,27,2017,"38.893132, -77.014034",https://goo.gl/maps/aUpXLEsqdNBkhadF9,38.893132,-77.014034,
New Jersey Avenue between K Street and L Street NW,3/28/17,March,28,2017,"38.903169, -77.013840",https://goo.gl/maps/2Dnd18bvKGGCd5k37,38.903169,-77.01384,
Washington Circle,3/29/17,March,29,2017,"38.902516, -77.050162",https://goo.gl/maps/iqe9exdxbDGFxdZM9,38.902516,-77.050162,
Whitehurst Freeway - 26th/27th and K NW,4/4/17,April,4,2017,"38.902673, -77.055567",https://goo.gl/maps/YeCgo9ggFdxUB9Ka9,38.902673,-77.055567,
4250 Connecticut Avenue NW,4/11/17,April,11,2017,"38.944922, -77.064683",https://goo.gl/maps/GZRRevNEZPyzKUBD6,38.944922,-77.064683,
1500 Connecticut Avenue NW,4/11/17,April,11,2017,"38.910292, -77.043938",https://goo.gl/maps/qtFqf7Z6m6obnum37,38.910292,-77.043938,
NoMa - Underpass(es),4/11/17,April,11,2017,"38.902503, -77.004360",https://goo.gl/maps/Jx3aZHbawVpoWw3k6,38.902503,-77.00436,
NoMa - Underpass(es),4/13/17,April,13,2017,"38.902503, -77.004360",https://goo.gl/maps/Jx3aZHbawVpoWw3k6,38.902503,-77.00436,
2016 Georgia Avenue NW,4/13/17,April,13,2017,"38.916897, -77.022155",https://goo.gl/maps/V4NBfP7uBfXnuSLw9,38.916897,-77.022155,
2nd Street and Massachussets Avenue NW Bus Stop,4/18/17,April,18,2017,"38.892062, -77.019912",https://goo.gl/maps/xwJqGsvStBy7UwB1A,38.892062,-77.019912,
16th Street and Harvard Street NW,4/27/17,April,27,2017,"38.926290, -77.036478",https://goo.gl/maps/CdSXg43nEC78Cy659,38.92629,-77.036478,
2016 Georgia Avenue NW,4/27/17,April,27,2017,"38.916897, -77.022155",https://goo.gl/maps/V4NBfP7uBfXnuSLw9,38.916897,-77.022155,
Whitehurst Freeway - 26th/27th and K NW,5/2/17,May,2,2017,"38.902673, -77.055567",https://goo.gl/maps/YeCgo9ggFdxUB9Ka9,38.902673,-77.055567,
North Borough Bridge,5/4/17,May,4,2017,NA,NA,NA,NA,Arlington Memorial Bridge?
1700 K Street NW,5/9/17,May,9,2017,"38.902430, -77.039976",https://goo.gl/maps/zV5kAxbLVmk4e1v19,38.90243,-77.039976,
2nd Street and H Street NW,5/16/17,May,16,2017,"38.900224, -77.013658",https://goo.gl/maps/D7CWyatR1qFMuydR6,38.900224,-77.013658,
NoMa - Underpass(es),5/18/17,May,18,2017,"38.902503, -77.004360",https://goo.gl/maps/Jx3aZHbawVpoWw3k6,38.902503,-77.00436,
Massachusetts Avenue and New Jersey Avenue NW,5/25/17,May,25,2017,"38.898876, -77.011997",https://goo.gl/maps/QbWwJZnxtxTv2xbw5,38.898876,-77.011997,
13th Street and H Street NE,5/26/17,May,26,2017,"38.900209, -76.988306",https://goo.gl/maps/TzMRW2NyStiD8tjj8,38.900209,-76.988306,
2nd Street and D Street NW,5/30/17,May,30,2017,"38.894785, -77.013682",https://goo.gl/maps/NfrVDoFRpZhMzCk57,38.894785,-77.013682,
1701 Corcoran Street NW,6/1/17,June,1,2017,"38.912003, -77.038928",https://goo.gl/maps/3P1CLAfAZ9Dwfac86,38.912003,-77.038928,
NoMa - Underpass(es),6/5/17,June,5,2017,"38.902503, -77.004360",https://goo.gl/maps/Jx3aZHbawVpoWw3k6,38.902503,-77.00436,
Virginia Avenue and South Capitol Street SE,6/6/17,June,6,2017,"38.882278, -77.008994",https://goo.gl/maps/pKWVz2yNTfA5YHJL7,38.882278,-77.008994,
3rd Street Tunnel,6/15/17,June,15,2017,"38.893132, -77.014034",https://goo.gl/maps/aUpXLEsqdNBkhadF9,38.893132,-77.014034,
NoMa - Underpass(es),6/20/17,June,20,2017,"38.902503, -77.004360",https://goo.gl/maps/Jx3aZHbawVpoWw3k6,38.902503,-77.00436,
295 overpass at Sousa Bridge,6/22/17,June,22,2017,NA,NA,NA,NA,Which side of the bridge?
NoMa - Underpass(es),6/29/17,June,29,2017,"38.902503, -77.004360",https://goo.gl/maps/Jx3aZHbawVpoWw3k6,38.902503,-77.00436,
Seward Square,7/11/17,July,11,2017,"38.885840, -76.999683",https://goo.gl/maps/jqFPJd9GZcKr8YZD8,38.88584,-76.999683,
Whitehurst Freeway - 26th/27th and K NW,7/13/17,July,13,2017,"38.902673, -77.055567",https://goo.gl/maps/YeCgo9ggFdxUB9Ka9,38.902673,-77.055567,
Whitehurst Freeway - 26th/27th and K NW,7/18/17,July,18,2017,"38.902673, -77.055567",https://goo.gl/maps/YeCgo9ggFdxUB9Ka9,38.902673,-77.055567,
NoMa - Underpass(es),7/20/17,July,20,2017,"38.902503, -77.004360",https://goo.gl/maps/Jx3aZHbawVpoWw3k6,38.902503,-77.00436,
Massachusetts Avenue and 2nd Street NW,7/25/17,July,25,2017,"38.899614, -77.013836",https://goo.gl/maps/ESUyJsmCa9Tw2B837,38.899614,-77.013836,
3rd Street and G Street NW,8/22/17,August,22,2017,"38.898328, -77.015230",https://goo.gl/maps/EmzwCh4st6RAK8Qr9,38.898328,-77.01523,
2210 Adams Place NE,8/24/17,August,24,2017,"38.919279, -76.974644",https://goo.gl/maps/w49bjYjmFxYuukmZA,38.919279,-76.974644,
NoMa - First Street NE,8/24/17,August,24,2017,"38.901274, -77.006406",https://goo.gl/maps/DwaQWhfCS3v9xJiy5,38.901274,-77.006406,
6001 Georgia Avenue NW,8/29/17,August,29,2017,"38.963136, -77.027389",https://goo.gl/maps/6t5GKpzZxKqYbXa29,38.963136,-77.027389,
2016 Georgia Avenue NW,8/29/17,August,29,2017,"38.916897, -77.022155",https://goo.gl/maps/V4NBfP7uBfXnuSLw9,38.916897,-77.022155,
Whitehurst Freeway - 26th/27th and K NW,9/19/17,September,19,2017,"38.902673, -77.055567",https://goo.gl/maps/YeCgo9ggFdxUB9Ka9,38.902673,-77.055567,
2016 Georgia Avenue NW,9/21/17,September,21,2017,"38.916897, -77.022155",https://goo.gl/maps/V4NBfP7uBfXnuSLw9,38.916897,-77.022155,
9th Street and F Street NW,9/26/17,September,26,2017,"38.897313, -77.024000",https://goo.gl/maps/4pXKfghuEea2kYYJ8,38.897313,-77.024,
NoMa - Underpass(es),9/28/17,September,28,2017,"38.902503, -77.004360",https://goo.gl/maps/Jx3aZHbawVpoWw3k6,38.902503,-77.00436,
NoMa - Underpass(es),10/3/17,October,3,2017,"38.902503, -77.004360",https://goo.gl/maps/Jx3aZHbawVpoWw3k6,38.902503,-77.00436,
21st Street and Virginia Avenue NW,10/5/17,October,5,2017,"38.895360, -77.046467",https://goo.gl/maps/NFbNjbbM3rHymNTn9,38.89536,-77.046467,
Whitehurst Freeway - 26th/27th and K NW,10/5/17,October,5,2017,"38.902673, -77.055567",https://goo.gl/maps/YeCgo9ggFdxUB9Ka9,38.902673,-77.055567,
Washington Circle,10/5/17,October,5,2017,"38.902516, -77.050162",https://goo.gl/maps/iqe9exdxbDGFxdZM9,38.902516,-77.050162,
17th Street and Corcoran Street NW,10/10/17,October,10,2017,"38.911875, -77.038468",https://goo.gl/maps/1ctzDBWSbUXhydu87,38.911875,-77.038468,
21st Street and Virginia Avenue NW,10/12/17,October,12,2017,"38.895360, -77.046467",https://goo.gl/maps/NFbNjbbM3rHymNTn9,38.89536,-77.046467,
3rd Street and Rhode Island Avenue NW,10/12/17,October,12,2017,"38.914532, -77.015744",https://goo.gl/maps/RKYBN1eLUo3esF1r7,38.914532,-77.015744,
Massachusetts Avenue and G Street NW,10/17/17,October,17,2017,"38.898417, -77.011060",https://goo.gl/maps/TsNgz4NypoGRVF7m6,38.898417,-77.01106,
NoMa - Underpass(es),10/19/17,October,19,2017,"38.902503, -77.004360",https://goo.gl/maps/Jx3aZHbawVpoWw3k6,38.902503,-77.00436,
NoMa - First Street NE,10/26/17,October,26,2017,"38.901274, -77.006406",https://goo.gl/maps/DwaQWhfCS3v9xJiy5,38.901274,-77.006406,
21st Street and Virginia Avenue NW,11/2/17,November,2,2017,"38.895360, -77.046467",https://goo.gl/maps/NFbNjbbM3rHymNTn9,38.89536,-77.046467,
21st Street and Virginia Avenue NW,11/7/17,November,7,2017,"38.895360, -77.046467",https://goo.gl/maps/NFbNjbbM3rHymNTn9,38.89536,-77.046467,
2300 E Street Expressway NW,11/9/17,November,9,2017,"38.895738, -77.048071",https://goo.gl/maps/MTuB7izmD9ugoGTW9,38.895738,-77.048071,
2300 E Street Expressway NW,11/16/17,November,16,2017,"38.895738, -77.048071",https://goo.gl/maps/MTuB7izmD9ugoGTW9,38.895738,-77.048071,
Seward Square,11/30/17,November,30,2017,"38.885840, -76.999683",https://goo.gl/maps/jqFPJd9GZcKr8YZD8,38.88584,-76.999683,
Whitehurst Freeway - 26th/27th and K NW,12/7/17,December,7,2017,"38.902673, -77.055567",https://goo.gl/maps/YeCgo9ggFdxUB9Ka9,38.902673,-77.055567,
3rd Street Tunnel,12/19/17,December,19,2017,"38.893132, -77.014034",https://goo.gl/maps/aUpXLEsqdNBkhadF9,38.893132,-77.014034,
NoMa - Underpass(es),12/21/17,December,21,2017,"38.902503, -77.004360",https://goo.gl/maps/Jx3aZHbawVpoWw3k6,38.902503,-77.00436,
3rd Street Tunnel,12/22/17,December,22,2017,"38.893132, -77.014034",https://goo.gl/maps/aUpXLEsqdNBkhadF9,38.893132,-77.014034,
NoMa - Underpass(es),1/11/18,January,11,2018,"38.902503, -77.004360",https://goo.gl/maps/Jx3aZHbawVpoWw3k6,38.902503,-77.00436,
NoMa - Underpass(es),1/24/18,January,24,2018,"38.902503, -77.004360",https://goo.gl/maps/Jx3aZHbawVpoWw3k6,38.902503,-77.00436,
2016 Georgia Avenue NW,2/1/18,February,1,2018,"38.916897, -77.022155",https://goo.gl/maps/V4NBfP7uBfXnuSLw9,38.916897,-77.022155,
9th Street and Barry Place NW,2/1/18,February,1,2018,"38.920767, -77.024064",https://goo.gl/maps/4i4peSpy8kmaRiQw9,38.920767,-77.024064,
Columbia Heights Plaza,2/1/18,February,1,2018,"38.930219, -77.032568",https://goo.gl/maps/ZCiwGFLfmDPT3Vwy7,38.930219,-77.032568,
17th Street and Corcoran Street NW,2/6/18,February,6,2018,"38.911875, -77.038468",https://goo.gl/maps/1ctzDBWSbUXhydu87,38.911875,-77.038468,
1240 22nd Street NW,2/6/18,February,6,2018,"38.906379, -77.049057",https://goo.gl/maps/EnW7sVvj7rD3QzzD9,38.906379,-77.049057,
21st Street and Virginia Avenue NW,2/8/18,February,8,2018,"38.895360, -77.046467",https://goo.gl/maps/NFbNjbbM3rHymNTn9,38.89536,-77.046467,
441 4th Street NW,2/15/18,February,15,2018,"38.895472, -77.016178",https://goo.gl/maps/3k4QRdeWLQjzZ8zm7,38.895472,-77.016178,
3rd Street Tunnel,2/15/18,February,15,2018,"38.893132, -77.014034",https://goo.gl/maps/aUpXLEsqdNBkhadF9,38.893132,-77.014034,
NoMa - Underpass(es),2/27/18,February,27,2018,"38.902503, -77.004360",https://goo.gl/maps/Jx3aZHbawVpoWw3k6,38.902503,-77.00436,
7th Street and D Street NW,3/1/18,March,1,2018,"38.894798, -77.021912",https://goo.gl/maps/vaopCMQ6Fev4P2VR6,38.894798,-77.021912,
295 overpass at Sousa Bridge,3/1/18,March,1,2018,NA,NA,NA,NA,Which side of the bridge?
17th Street and Corcoran Street NW,3/6/18,March,6,2018,"38.911875, -77.038468",https://goo.gl/maps/1ctzDBWSbUXhydu87,38.911875,-77.038468,
100 Irving Street NW,3/6/18,March,6,2018,"38.928532, -77.013519",https://goo.gl/maps/Dx4XEhX4DahBWCxb9,38.928532,-77.013519,
NoMa - First Street NE,3/13/18,March,13,2018,"38.901274, -77.006406",https://goo.gl/maps/DwaQWhfCS3v9xJiy5,38.901274,-77.006406,
Whitehurst Freeway - 26th/27th and K NW,3/15/18,March,15,2018,"38.902673, -77.055567",https://goo.gl/maps/YeCgo9ggFdxUB9Ka9,38.902673,-77.055567,
Washington Circle,3/23/18,March,23,2018,"38.902516, -77.050162",https://goo.gl/maps/iqe9exdxbDGFxdZM9,38.902516,-77.050162,
