coc_code,coc_name,state_code,poverty_rate,eviction_rate,eviction_filing_rate,median_household_income,median_gross_rent,rent_burden,median_property_value
ma-502,lynn coc,ma,18.62727272727273,2.514090909090909,5.257272727272727,49525.318181818184,1051.8636363636363,34.07727272727273,238240.9090909091
ma-504,springfield/hampden county coc,ma,17.311067961165048,1.2881553398058252,5.292718446601942,51519.10784313725,881.4387755102041,33.63535353535354,186576.23762376237
ma-505,new bedford coc,ma,21.903548387096773,2.106451612903226,6.193870967741936,37739,765.6451612903226,29.948387096774194,198290.32258064515
ma-508,lowell coc,ma,17.7728,2.554,5.3276,47472.88,992.96,33.724,223592
ma-509,cambridge coc,ma,8.453125,1.075,1.6678125,80938.65625,1701.125,28.790625,598112.9032258064
md-501,baltimore coc,md,19.98335,NA,NA,44752.27272727273,996.9489795918367,34.743147208121826,159142.78350515463
md-508,"charles, calvert, st. mary's counties coc",md,5.1498507462686565,NA,NA,91164.81538461539,1493.753846153846,31.018461538461537,303984.375
mo-501,st. louis city coc,mo,23.50367924528302,4.274811320754717,7.111603773584906,34088.1037735849,739.1981132075472,34.79150943396226,123151.45631067961
nc-516,northwest north carolina coc,nc,14.7174,1.9098,2.899,37365.88,674.66,36.388,159810
nv-500,las vegas/clark county coc,nv,13.173305954825462,3.279958932238193,5.69564681724846,54652.77823408624,1130.6460905349795,31.412962962962965,172774.32150313153
ny-600,new york city coc,ny,16.067989833641406,4.1025331125827815,17.384031456953643,59282.870660960536,1355.61700095511,34.23670946267237,562402.1448671183
or-500,"eugene, springfield/lane county coc",or,13.07732558139535,1.3334883720930233,2.508604651162791,46655.104651162794,895.635294117647,33.830232558139535,230143.02325581395
or-501,"portland, gresham/multnomah county coc",or,11.256608187134503,1.09046783625731,3.3000584795321637,59732.41176470588,1053.585798816568,33.29529411764706,311804.1176470588
or-502,"medford, ashland/jackson county coc",or,14.587560975609756,1.388780487804878,3.509512195121951,44511.829268292684,914.7560975609756,35.8780487804878,226997.56097560975
or-503,central oregon coc,or,11.303529411764705,0.8564705882352941,2.2691176470588235,51070.82352941176,951.6470588235294,31.020588235294117,241358.82352941178
or-505,oregon balance of state coc,or,12.912083333333333,1.1061379310344828,2.721103448275862,46067.84516129032,800.3548387096774,31.67290322580645,196661.48867313916
wa-500,seattle/king county coc,wa,7.362663316582915,0.4184170854271357,1.050251256281407,80741.92191435768,1321.117048346056,29.645959595959596,409544.69696969696
