state,city,coc_code,sleeping_public_citywide,sleeping_public_particular,camping_public_citywide,camping_public_particular,sitting_lying_particular,vehicle_as_home,loitering_vagrancy_citywide,loitering_vagrancy_particular,begging_citywide,begging_particular,food_sharing_bans,totals,score,cluster_number_zillow_2017
mo,st louis,mo-501,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,3,0.27,3
ms,biloxi,ms-503,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,4,0.36,2
mt,billings,mt-500,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,3,0.27,2
nc,asheville,nc-501,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,6,0.55,2
nc,charlotte,nc-505,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,4,0.36,2
nc,raleigh,nc-507,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,4,0.36,2
nd,fargo,nd-500,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,0.09,2
nd,grand forks,nd-500,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,3,0.27,2
ne,lincoln,ne-502,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,3,0.27,2
ne,omaha,ne-501,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,0.09,2
nh,concord,nh-500,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,4,0.36,1
nh,manchester,nh-501,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,6,0.55,2
nj,atlantic city,nj-500,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,5,0.45,2
nj,newark,nj-504,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,4,0.36,2
nj,trenton,nj-514,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,3,0.27,2
nm,albuquerque,nm-500,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,3,0.27,2
nm,santa fe,nm-501,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,3,0.27,2
nv,las vegas,nv-500,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,5,0.45,3
nv,north las vegas,nv-500,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,4,0.36,3
nv,pahrump,nv-502,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,5,0.45,1
nv,reno,nv-501,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,4,0.36,2
